name,address,phone,licence_number
РАО «Никифоров-Селезнев»,"клх Пышма, ул. Луговая, д. 1/4 к. 2/4, 088233",+7 (306) 672-67-94,811414
ООО «Ильин-Третьякова»,"к. Губаха, ш. Разина, д. 124, 385259",8 (642) 911-47-36,116961
ИП «Титов Баранов»,"д. Черусти, наб. Первомайская, д. 80 к. 9, 127828",+7 (765) 712-75-69,601072
"РАО «Капустин, Логинов и Дорофеев»","п. Суздаль, алл. Дорожная, д. 619 к. 7/9, 175421",89834132446,128582
Попова и партнеры,"д. Киренск, ул. Вокзальная, д. 464, 387762",+7 (787) 811-8661,824299
"ООО «Доронин, Баранов и Карпов»","д. Касимов, ул. Короленко, д. 4/6, 142837",8 (652) 691-35-11,157362
ООО «Аксенова»,"ст. Бреды, алл. Рабочая, д. 35 стр. 967, 415225",+7 (317) 149-3199,860812
Шестакова Инкорпорэйтед,"г. Находка, пер. Станционный, д. 8, 939289",+7 947 112 12 83,516677
ЗАО «Ершова-Никифорова»,"клх Сунтар, пр. Садовый, д. 6/4, 493580",+7 045 229 2689,293087
Шестакова Инкорпорэйтед,"ст. Мезень, наб. Пожарского, д. 4 стр. 5, 814716",8 054 787 49 63,263661
"АО «Гришина, Воронова и Захарова»","с. Корсаков, наб. Азовская, д. 6/1 к. 70, 608085",8 (861) 769-76-10,324124
ООО «Тарасов-Гущин»,"г. Касимов, бул. Кавказский, д. 9, 966977",+7 (585) 555-1913,132603
ИП «Зимин Кошелева»,"клх Россошь, пер. Весенний, д. 8/5, 148702",89590681863,751416
"ЗАО «Орехов, Соловьева и Кошелев»","с. Верещагино (Перм.), пер. Огородный, д. 7 к. 957, 182635",+7 (643) 674-37-96,411037
АО «Галкин-Зайцева»,"ст. Устюжна, алл. Тамбовская, д. 187, 769206",+7 (643) 721-1938,365504
ОАО «Лебедева Журавлев»,"ст. Омск, бул. Физкультурный, д. 859 к. 8, 321456",8 916 939 0399,405214
Мосгортранс,"ст. Курск, ш. Красногвардейское, д. 2 стр. 20, 541202",8 820 009 7259,969045
ОАО «Лукин-Григорьева»,"п. Кызыл, алл. Поперечная, д. 9/6 стр. 526, 854861",83497190480,887442
"ЗАО «Александрова, Дементьев и Титова»","п. Джубга, бул. Восточный, д. 800 стр. 8/9, 476007",80463728050,849076
ОАО «Кошелева»,"клх Медногорск, наб. Молодежная, д. 129 к. 37, 362022",+7 472 106 67 93,495414
НПО «Зиновьева Дорофеев»,"д. Курумкан, пр. Химиков, д. 577 стр. 8, 540484",8 (340) 594-84-40,741952
РАО «Мухин-Ларионов»,"д. Палана, ш. Рыбацкое, д. 98, 703017",+7 (392) 484-62-76,521885
АО «Петрова-Пономарева»,"г. Сосновый Бор, ш. Трудовое, д. 7 стр. 7/3, 988093",+7 200 559 23 83,286367
ООО «Панфилов-Игнатьева»,"п. Нижний Тагил, ш. Спортивное, д. 30 стр. 4, 032942",8 (011) 870-48-88,165293
ООО «Константинов Ситникова»,"ст. Онега, алл. Сельская, д. 53 стр. 47, 760594",+7 (002) 361-2703,979628
ООО «Князева Ларионов»,"ст. Гремячинск (Перм.), ш. Кузнецова, д. 8, 707264",8 452 240 41 00,941917
Осипова Лтд,"с. Пышма, алл. Панфилова, д. 6 к. 6, 438900",8 117 512 5883,884806
Осипов Групп,"клх Пушкин, алл. Инженерная, д. 4 стр. 620, 721308",+7 (298) 734-93-41,185547
АО «Фомичев Гусева»,"ст. Бронницы, наб. Крылова, д. 4, 829948",+7 (671) 436-8586,476927
НПО «Кулакова Тетерина»,"с. Старый Оскол, ул. Курчатова, д. 6 стр. 38, 184113",84233141996,850499
ООО «Быков-Зайцева»,"с. Апатиты, пр. Чернышевского, д. 967 к. 14, 967792",+7 (257) 757-10-06,283899
ОАО «Николаева-Кулакова»,"клх Пушкино (Моск.), пр. Северный, д. 525 к. 8/9, 468389",+7 (784) 763-0149,518768
РАО «Зайцева Гурьев»,"г. Находка, пер. Ставропольский, д. 988, 710299",+7 (315) 232-8688,398150
АО «Селиверстов Ситникова»,"г. Тосно, ул. Московская, д. 3, 279434",8 (237) 678-20-08,725269
НПО «Одинцова-Моисеев»,"к. Ухта, бул. Восьмого Марта, д. 8/2, 807629",8 195 206 2349,131375
ЗАО «Князев»,"клх Переславль-Залесский, наб. Жданова, д. 3, 697888",+7 (348) 346-8855,567227
Сэтл групп,"клх Воркута, пр. Московский, д. 28 к. 7/7, 921291",+7 644 772 81 40,341998
ОАО «Калашникова Беспалова»,"с. Тура, ул. К.Маркса, д. 36 стр. 7, 937043",+7 (107) 528-1227,651102
ЗАО «Павлов-Авдеев»,"г. Арзамас, ш. Большевистское, д. 18, 167397",8 780 743 9144,623404
ИП «Михайлова»,"клх Псебай, алл. Промышленная, д. 5/9 стр. 4/7, 347168",8 (059) 900-79-66,149920
ООО «Прохоров»,"ст. Луховицы, пер. Матросова, д. 5, 461642",+7 (780) 902-40-72,349599
ИП «Костин»,"к. Кондопога, пер. 50 лет Победы, д. 36 к. 625, 043594",+7 343 131 4966,865555
Пахомова Лимитед,"с. Калевала, ш. Ветеранов, д. 263 стр. 46, 650081",8 359 668 21 68,593354
Галкин Инк,"ст. Змеиногорск, алл. Халтурина, д. 4, 969005",+72486589115,382982
Самсонова Лтд,"к. Лагань, пр. Курский, д. 616, 531868",+7 606 322 99 06,873610
ЗАО «Назаров-Мартынов»,"д. Щелково, бул. Глинки, д. 35, 128946",+7 (374) 665-2370,428501
"ЗАО «Кабанова, Лапин и Коновалов»","п. Карабудахкент, бул. Сплавный, д. 7 к. 4/2, 628486",+79233961870,296501
Ковалева Инк,"д. Чебаркуль, алл. Раздольная, д. 15, 796531",80980735533,916156
"НПО «Фомичев, Казаков и Горбунов»","п. Верхотурье, алл. Блюхера, д. 57 стр. 9, 102711",+7 (872) 147-3378,133554
ЗАО «Соловьева»,"ст. Меренга, бул. Маркса Карла, д. 912 к. 51, 453435",+7 (492) 395-54-13,298699
ИП «Филиппов Лыткин»,"ст. Малоярославец, бул. Промышленный, д. 2, 235250",+74754092606,336336
ТАИФ-НК,"ст. Вологда, ш. Студенческое, д. 40 к. 8/7, 048275",8 822 440 21 63,700603
Ашинский металлургический завод,"г. Хоста, наб. Мира, д. 6, 533661",+7 (514) 545-99-80,528725
НПО «Артемьев»,"г. Терней, ш. Запрудное, д. 6, 786012",8 (200) 988-8359,674801
Фролов Инкорпорэйтед,"ст. Новороссийка, бул. Терешковой, д. 78 к. 6, 578037",8 (858) 049-49-12,667597
Mail.Ru Group,"ст. Диксон, ул. Родниковая, д. 5, 532936",+7 (324) 379-6096,759049
"ООО «Ефимов, Беспалова и Егоров»","с. Ельня, пер. Культуры, д. 8/4 к. 5/3, 271217",+7 (334) 872-73-60,453952
Хохлов Инкорпорэйтед,"п. Диксон, ул. Кузнецова, д. 33 к. 47, 343661",+7 398 124 59 56,622131
Брагина Лимитед,"с. Зеленоград, ш. Сахалинское, д. 4 стр. 9, 277745",+7 (701) 943-8841,422994
Моисеева и партнеры,"к. Макаров, ул. Березовая, д. 65 к. 104, 186730",8 225 523 8657,606865
ООО «Колесников-Доронин»,"с. Оленек, наб. Маркса Карла, д. 692, 947207",8 645 897 9304,326880
ОАО «Одинцова Авдеев»,"к. Балашов, алл. Леонова, д. 8/3 стр. 82, 687891",+7 (065) 901-27-13,721976
ООО «Жданов Рожкова»,"с. Нерчинск, бул. Донской, д. 6/1 к. 67, 082557",81862144815,371238
"ООО «Муравьев, Николаева и Капустина»","с. Барнаул, пер. Суворова, д. 1 стр. 6, 593523",8 (181) 881-22-11,357940
ООО «Смирнова-Голубева»,"г. Брянск, ш. Поперечное, д. 59 стр. 6, 519004",+78572010453,178642
АО «Дьячкова Белоусова»,"п. Урус-Мартан, ш. Амурское, д. 4 к. 97, 207908",+7 207 275 18 26,400914
ИП «Горбунова Фролова»,"клх Карпинск, ш. Горняцкое, д. 34 стр. 16, 047261",+7 396 036 57 34,128949
ООО «Копылов Шарапова»,"с. Бугульма, наб. Горняцкая, д. 7/4 к. 1, 871770",8 908 785 1221,790446
РАО «Александров-Поляков»,"ст. Качканар, наб. Солнечная, д. 1, 759745",8 (538) 715-5031,693410
ЗАО «Иванов Тетерин»,"с. Билибино, пр. Пограничный, д. 952 стр. 74, 607425",+76645016744,371873
АО «Гущина»,"клх Воткинск, бул. Новосельский, д. 157, 523670",+7 754 062 06 11,235855
ООО «Калашников»,"к. Палана, пр. 30 лет Победы, д. 1/9 стр. 630, 443143",8 871 164 12 07,959950
Панов Инк,"к. Уэлен, алл. Мира, д. 2/9 стр. 6/5, 325294",8 523 869 28 23,239674
ОАО «Петухова»,"ст. Красновишерск, пер. Ульянова, д. 3/4 стр. 271, 805184",+70121345426,769707
Марс (Mars),"г. Гремячинск (Бурят.), ул. Чехова, д. 2 к. 9/6, 722865",8 199 844 6522,486412
"ЗАО «Панфилов, Максимова и Молчанова»","ст. Королев, ул. Ветеранов, д. 3, 405332",+76330474556,985421
РАО «Матвеева-Кулагина»,"п. Грозный, пр. Дзержинского, д. 3 стр. 50, 081491",+7 (892) 140-82-74,613468
ООО «Сорокина-Калашников»,"п. Белокуриха, ш. Геологов, д. 4 стр. 556, 355188",8 (209) 338-3620,639045
Зерно-трейд,"ст. Чехов, бул. Ульяновский, д. 272 стр. 87, 095240",8 (984) 509-3410,657038
Металлокомплект-М,"г. Эльбрус, пер. Машиностроителей, д. 5/5 к. 8/9, 134602",+7 (397) 389-56-02,908355
Архипов Инкорпорэйтед,"д. Троицк (Челяб.), алл. Маркса, д. 5, 928419",+7 923 988 2951,190996
Селезнев Групп,"ст. Мураши, наб. 50 лет Октября, д. 9 к. 75, 762055",+7 969 791 6386,985518
Ларионова Инк,"п. Черусти, ул. Строительная, д. 84, 328971",+7 (053) 037-09-31,874975
"ОАО «Панова, Меркушев и Сидорова»","д. Обоянь, бул. Депутатский, д. 418 к. 4/3, 828994",8 (776) 451-94-54,414929
ИП «Гришин»,"клх Махачкала, ш. Овражное, д. 734 стр. 371, 026810",+7 (594) 538-97-30,821878
ООО «Соловьева»,"п. Каргасок, пер. Смоленский, д. 25 стр. 3/2, 869782",+7 160 532 03 93,353345
"АО «Журавлева, Дмитриев и Карпов»","п. Макаров, наб. Театральная, д. 7/7 к. 1/4, 093637",8 (977) 604-25-08,101149
ООО «Гуляев-Тетерина»,"г. Мыс Шмидта, ул. Первомайская, д. 6/9, 537769",8 161 163 86 74,663112
Деловые линии,"д. Дзержинск, ш. Лазурное, д. 7 стр. 1, 937374",8 685 998 17 31,973311
Волкова Групп,"п. Армавир, пр. Новый, д. 221 стр. 9/2, 053938",8 (894) 272-26-53,226990
Сибур Холдинг,"ст. Советский, алл. Кольцова, д. 725 к. 7/8, 754822",8 (112) 319-59-54,750761
АО «Капустина Кабанов»,"с. Мыс Шмидта, ш. Калужское, д. 4/5 к. 3, 695859",+7 (361) 955-17-60,690808
Корпорация Электросевкавмонтаж,"п. Кировск (Мурм.), алл. Дорожников, д. 1/4 стр. 9/2, 798573",8 (264) 717-8767,517446
"ЗАО «Субботин, Шарапов и Давыдова»","г. Подольск, пр. Сельский, д. 753, 170289",8 (447) 428-06-50,277132
РАО «Князев»,"д. Красноселькуп, ул. Коммунаров, д. 492, 614657",8 (831) 466-28-71,117744
Журавлев Лимитед,"с. Нарым, пр. Орловский, д. 86, 527229",8 530 875 49 89,632411
ООО «Нестерова»,"к. Котлас, ул. Лесозаводская, д. 47, 849298",+76302628875,411575
ЗАО «Белякова Абрамов»,"д. Яшкуль, ш. Ленинградское, д. 954, 282408",8 (602) 614-0385,435424
АО «Муравьева Дмитриев»,"г. Дзержинск, пр. Фабричный, д. 8/9 к. 5, 113099",+7 (178) 140-82-43,919328
ИП «Ильина-Мартынов»,"п. Сибай, пр. Красных Партизан, д. 79 стр. 51, 566337",+74608629705,351582
ИП «Лаврентьев-Третьякова»,"с. Палана, бул. Чапаева, д. 345 к. 97, 620892",8 425 548 63 08,333697
"РАО «Щербаков, Козлова и Субботин»","г. Асино, пер. Минина, д. 3 к. 626, 795310",+7 (318) 562-13-31,609728
Сатурн-Р,"г. Ногинск (Моск.), пр. Курортный, д. 4/7 стр. 362, 136946",+7 196 300 92 24,615873
ЗАО «Ларионов»,"д. Березники, алл. Чернышевского, д. 2/7 к. 6/6, 659451",8 869 887 16 13,987308
Константинов Групп,"д. Калач, алл. Димитрова, д. 3/3, 636681",+74374966714,879316
Киселев Лимитед,"с. Карпинск, пр. Первомайский, д. 1 к. 68, 507836",+7 (045) 631-18-58,379059
"НПО «Тетерина, Бобылева и Калашникова»","к. Таштагол, бул. Харьковский, д. 539 стр. 438, 253931",+7 (327) 162-91-41,388852
ОАО «Денисов»,"к. Токсово, пр. Ворошилова, д. 529, 014840",+7 426 659 8945,654884
ИП «Соколова Маслова»,"г. Ялуторовск, алл. Медицинская, д. 4 к. 9/8, 627475",+7 201 116 61 39,294422
АО «Никифорова»,"г. Шуя, наб. Кузнечная, д. 17, 295265",8 (158) 034-81-65,434028
ОАО «Потапов Ершова»,"ст. Соловки, пер. Есенина, д. 3 стр. 249, 103264",8 (555) 533-2507,645822
ОАО «Рыбакова Шарапова»,"ст. Усть-Баргузин, бул. Ставропольский, д. 9, 526616",+7 348 942 21 85,420832
НПО «Мишин»,"с. Шелехов, пр. Станционный, д. 405 стр. 8, 719509",86412665059,156096
"АО «Евдокимов, Осипова и Комаров»","клх Грозный, наб. Высоцкого, д. 2/3, 284067",8 820 275 4568,256919
Русская медная компания,"клх Хабаровск, пр. Кузнецкий, д. 93 к. 88, 269770",89535564605,472259
"НПО «Громова, Пономарев и Лукин»","п. Валаам, ш. Алтайское, д. 3 к. 487, 982978",+7 660 580 96 93,836798
ЗАО «Силин»,"г. Тулпан, пр. Коммунаров, д. 4/3, 145538",87002152408,752936
ООО «Анисимова»,"к. Тотьма, наб. Высотная, д. 5/4 к. 3/7, 766412",+7 056 617 1615,253472
НПО «Миронов Константинова»,"д. Соль-Илецк, пер. Краснофлотский, д. 377 стр. 2, 849409",+7 (143) 914-59-77,330589
НПО «Бирюкова Фокина»,"п. Аргаяш, бул. Главный, д. 8 к. 70, 004502",+7 821 377 77 85,880573
ОАО «Меркушева Быков»,"ст. Калачинск, алл. Интернациональная, д. 9 к. 1, 596240",8 (283) 624-08-08,452445
НПО «Быков»,"ст. Таштагол, наб. Пирогова, д. 5, 541376",8 (704) 238-8038,710083
ООО «Павлова»,"с. Нефтегорск (Самар.), ш. Заозерное, д. 8, 269721",8 (109) 023-5650,582464
ИП «Соловьева-Тихонов»,"с. Верхний Тагил, пр. Революции, д. 5/6 к. 870, 910240",8 (221) 548-6953,263483
ОАО «Никитин Афанасьев»,"к. Баргузин, пр. Парижской Коммуны, д. 5/7, 730464",+7 063 974 56 54,346621
Аргос,"с. Верхний Тагил, наб. Рябиновая, д. 634 к. 43, 500053",8 (753) 963-77-02,552094
ОАО «Лукин»,"д. Цимлянск, пр. Деповский, д. 6/2 к. 553, 792390",+71195743136,216426
Объединенная авиастроительная корпорация,"ст. Старый Оскол, ул. К.Маркса, д. 9/3 стр. 9, 752952",+7 (631) 467-32-33,861350
ООО «Казаков-Кулакова»,"к. Хасавюрт, пр. Космический, д. 1 к. 79, 137585",8 (425) 780-66-24,190905
Авиакомпания ЮТэйр,"с. Волоколамск, пр. Балтийский, д. 6 стр. 9/9, 319950",+7 (774) 141-7281,953243
ЗАО «Давыдов-Архипов»,"ст. Клин, пр. Высотный, д. 5 стр. 1, 837638",+7 660 421 2960,796283
Roust,"д. Пенза, пер. Центральный, д. 16 к. 26, 514758",8 095 998 61 44,247075
Белов Лимитед,"д. Кунгур, пер. Победы, д. 7/1 к. 6/1, 240635",+7 605 971 00 08,228190
ОАО «Емельянова Орлов»,"с. Верхнее Пенжино, наб. Хуторская, д. 8 к. 30, 150723",87349517217,253350
Бирюкова Лимитед,"с. Шадринск, алл. Сельская, д. 1, 498199",8 930 414 6005,820436
ОАО «Лихачев-Кононова»,"п. Балашиха, наб. Широкая, д. 4/3, 005147",8 (254) 942-34-69,845492
НПО «Селезнев»,"к. Ульяновск, бул. Иванова, д. 9 стр. 67, 231843",8 424 016 45 90,454622
АО «Савельева-Быков»,"клх Черкесск, ш. Труда, д. 33 стр. 636, 635947",+7 601 522 51 61,265349
Лихачев Инкорпорэйтед,"клх Данков, пер. Урицкого, д. 750 стр. 1, 152866",+71212111515,274034
ЗАО «Яковлева»,"г. Новороссийск, наб. Минская, д. 73, 064205",+7 935 164 8688,349631
АО «Панфилов Брагина»,"п. Нефтеюганск, пр. Краснодарский, д. 4, 473231",+7 660 530 4405,856197
ООО «Лихачев Попов»,"д. Луга, пр. Луначарского, д. 59 к. 381, 192851",8 886 830 8119,492107
Кудрявцев Групп,"д. Кетченеры, ш. Березовое, д. 6/2 стр. 764, 212249",+74253298262,886535
Блинов Инкорпорэйтед,"п. Борзя, ш. Краснофлотское, д. 307, 308853",8 (581) 008-3170,159003
НПО «Беспалова-Ширяев»,"с. Павловский Посад, пр. Овражный, д. 685 стр. 855, 288581",+7 (713) 531-24-24,868589
"ИП «Степанова, Коновалов и Ларионова»","с. Минусинск, ул. Машиностроителей, д. 460 стр. 482, 527699",80231255714,509640
НПО «Нестеров»,"ст. Южноуральск, пер. Механизаторов, д. 22, 371225",8 075 458 11 20,411961
НПО «Лыткин»,"с. Арзамас, ш. Некрасова, д. 3/9 к. 6, 537173",+7 (243) 316-2099,161251
Зимина Лимитед,"с. Чебоксары, наб. Серова, д. 714 к. 93, 533340",+7 425 561 3257,557175
Рыбаков и партнеры,"к. Барнаул, ш. Высотное, д. 908, 687253",+7 560 941 01 68,444975
Ренейссанс Хэви Индастрис Ronesans Endustri,"с. Данков, ул. Подгорная, д. 376 к. 96, 925802",+7 (300) 644-62-91,432836
Кулагин Инк,"с. Тура, алл. Урожайная, д. 97, 239643",+72559594241,300574
"АО «Афанасьев, Гордеев и Новиков»","п. Гусь-Хрустальный, ул. Попова, д. 741 к. 4, 303987",8 502 911 5265,755254
"ООО «Титова, Дьячкова и Терентьев»","ст. Черский, наб. Украинская, д. 4, 775176",8 (298) 104-77-24,556211
Лазарев Инкорпорэйтед,"д. Югорск, пр. Рязанский, д. 36 к. 2/1, 917763",89008704490,274617
ОАО «Сергеева»,"п. Петушки, пер. Алтайский, д. 710 к. 31, 242777",+7 304 644 76 55,682995
"РАО «Казакова, Буров и Ефремова»","клх Карпинск, бул. Ярославский, д. 4/3 стр. 5, 228806",89981455031,759982
"ОАО «Беспалов, Карпов и Щукина»","п. Усолье Сибирское, пр. З.Космодемьянской, д. 8, 599382",8 597 724 3504,591221
Модум-транс,"к. Курильск, ул. Бригадная, д. 4/4 к. 5, 342824",8 877 685 85 81,958586
АФК Система,"г. Канск, пер. Достоевского, д. 3 к. 101, 192330",+7 208 285 64 37,273471
"ОАО «Белова, Миронова и Савин»","д. Обоянь, наб. Володарского, д. 586 к. 59, 375072",+7 599 308 1900,979154
ООО «Кудряшов»,"ст. Гудермес, пер. Озерный, д. 7/6, 852854",85381098229,269587
НПО «Быков Шестакова»,"г. Яр-Сале, ш. Енисейское, д. 6/8 к. 23, 553674",+7 355 956 3917,734401
Мельников Инкорпорэйтед,"п. Тырныауз, пр. Терешковой, д. 77 стр. 83, 350850",8 374 661 7253,649496
Мосгортранс,"д. Александров, ул. Беляева, д. 7, 070552",8 (989) 451-91-38,548376
РАО «Зуева Туров»,"п. Видное, ш. Красноярское, д. 909, 407748",+7 646 554 09 20,669407
Корнилова Инк,"д. Архыз, ул. Рязанская, д. 507 к. 5/7, 389456",8 661 375 55 01,680548
"ЗАО «Кошелева, Тихонова и Корнилов»","к. Мичуринск, алл. Лесозаводская, д. 1 стр. 383, 269431",8 (329) 197-7115,213637
ООО «Соболева-Потапов»,"к. Гремячинск (Перм.), пер. Володарского, д. 9 стр. 1, 856416",8 (645) 679-19-82,447971
Интернешнл Пейпер (International Paper),"к. Нурлат, алл. Циолковского, д. 9, 707001",+7 226 020 6297,541633
Трест КХМ,"клх Черняховск, ул. Запрудная, д. 66 к. 215, 695377",8 (516) 040-10-39,996982
АО «Романова»,"ст. Качканар, ул. Зои Космодемьянской, д. 25 к. 96, 043208",+7 (134) 716-09-14,964919
ЗАО «Шилова»,"к. Ступино, пр. Ангарский, д. 3 стр. 1, 394223",89254742923,684714
"ООО «Щукина, Петрова и Казакова»","с. Нефтегорск (Самар.), пр. Южный, д. 169, 069086",+7 (746) 567-00-11,453588
АО «Федотова»,"клх Владимир, алл. Автомобилистов, д. 25 стр. 49, 526364",8 512 057 9142,119626
ОАО «Павлов-Кошелев»,"д. Истра, ул. Олимпийская, д. 218, 755035",+78243243305,392968
Кононов и партнеры,"г. Устюжна, ш. Халтурина, д. 9/7, 738707",+79842950612,318741
Сталепромышленная компания,"клх Луховицы, ш. Кутузова, д. 8, 815657",83689027442,435929
НПО «Крылова Баранов»,"к. Шуя, пр. 1 Мая, д. 3/7 стр. 626, 680179",8 (771) 143-94-61,721089
НПО «Харитонов»,"г. Тосно, алл. Максима Горького, д. 1/3 к. 41, 933897",+7 (368) 828-47-98,289537
Восточная горнорудная компания,"п. Старая Русса, бул. Астраханский, д. 24 стр. 2/9, 614870",+7 (434) 483-76-36,328344
"РАО «Буров, Капустин и Самойлов»","к. Терскол, пер. Фадеева, д. 616, 712398",+70690730116,491285
"ООО «Данилова, Воронова и Белозеров»","г. Армавир, бул. Нахимова, д. 8, 336360",+7 724 125 3791,999419
ЗАО «Евсеева»,"к. Вытегра, бул. Циолковского, д. 3/4 к. 888, 219998",8 813 958 99 79,665745
РАО «Орехова Осипова»,"п. Надым, наб. Дорожная, д. 9/5, 267689",8 969 097 7457,279077
Центр финансовых технологий,"ст. Джейрах, ш. Ленина, д. 751, 681639",8 862 763 55 48,265851
"РАО «Вишнякова, Лукин и Селезнев»","д. Плес, бул. Подлесный, д. 907, 068508",+7 374 441 49 23,345389
ООО «Устинов-Самойлов»,"г. Усть-Илимск, бул. Кооперативный, д. 9 к. 63, 649104",82779002420,650534
ЗАО «Яковлева»,"с. Руза, ул. Победа, д. 3, 268930",8 (920) 570-5280,847818
ЗАО «Крылов»,"п. Катайск, пр. Боровой, д. 5/5, 767890",+72913940232,684800
Группа Стройтрансгаз,"д. Верхний Уфалей, пр. Набережный, д. 1/8 к. 11, 398110",8 327 699 4793,618349
Устинова Групп,"к. Балашов, алл. Химиков, д. 80, 631011",8 (900) 259-49-88,959956
АО «Никитина»,"г. Нефтеюганск, наб. Гафури, д. 89, 693432",+77367914235,389222
Технологии машиностроения (Техмаш),"ст. Армавир, пер. Матросова, д. 8, 834159",8 781 777 87 35,159136
АО «Григорьев»,"к. Муравленко, пер. Кооперативный, д. 4/8 к. 21, 479281",+7 (420) 615-32-24,731537
ОАО «Корнилова-Орлова»,"клх Чермоз, ул. Коллективная, д. 41, 072595",8 (379) 172-61-63,550364
ОАО «Сидоров-Маркова»,"д. Советский, ул. Подстанция, д. 3/2, 789402",+79123552128,852911
ИП «Шилова-Ермакова»,"п. Магас, пер. Королева, д. 2/5, 314908",+7 (535) 830-66-52,553057
"НПО «Никитин, Богданов и Моисеева»","п. Урай, наб. Индустриальная, д. 27, 948553",8 (422) 111-4097,646515
НПО «Гурьева»,"с. Гусь-Хрустальный, пер. Таманский, д. 6/7 стр. 3/2, 923234",+7 (088) 434-7908,342373
Шубина Инкорпорэйтед,"п. Елатьма, бул. Восточный, д. 2/5 стр. 1, 889546",8 664 244 4142,410650
Группа Газфонд,"г. Джубга, бул. Белинского, д. 6/5 к. 2, 452110",8 271 202 52 38,733082
Гуляев Лимитед,"п. Саратов, алл. Гоголя, д. 407 к. 8, 349774",89644284823,420229
